"Opportunity Owner";"Opportunity Name";"Account Name";"City";"Stage";"Fiscal Period";"Amount Currency";"Amount";"Probability (%)";"Age";"Created Date";"Close Date";"Stage Duration";"Opportunity ID";"Agreed spots";"Country";"Dedicated Spots";"Lead Source";"Amount (converted) Currency";"Amount (converted)";"Fixed Fee Amount (Monthly) Currency";"Fixed Fee Amount (Monthly)";"Fixed Fee / Revenue Share";"GarageID";"Launch Date";"Total ParkBee Spots";"Location"
"Alex Murden";"Travelodge Hotel - City Centre (Manchester, M3)";"Travelodge Hotel City";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"31-5-2017";"473,0000000000";"0065800000FlJAA";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Blackfriars Street, Manchester M3 5AL"
"Alex Murden";"Skyline Business Village - (London E14)";"Skyline Business Village";"";"Contacted";"Q2-2017";"GBP";"";"25";"474,0000000000";"6-4-2017";"30-4-2017";"474,0000000000";"0065800000Fl4dD";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Skyline Business Villages, Limeharbour, Bethnal Green, E14 9TS"
"Alex Murden";"Royal Lancaster Hotel (London, W2)";"Royal Lancaster Hotel";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"30-6-2017";"473,0000000000";"0065800000FlHQg";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Lancaster Terrace, London W2 2TY"
"Sarah Rijken";"Rivierstaete";"Vastint Netherlands B.V.";"Amsterdam";"Contacted";"Q4-2018";"EUR";"";"25";"473,0000000000";"7-4-2017";"30-11-2018";"473,0000000000";"0065800000FlIYD";"";"NL";"";"Existing Client Referral";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";"Amsteldijk 166"
"Alex Murden";"Pearl's & Couts Ltd - The Circle (London, SE1)";"Pearls & Couts Ltd (Commercial)";"";"Contacted";"Q2-2017";"EUR";"";"25";"473,0000000000";"7-4-2017";"31-5-2017";"473,0000000000";"0065800000FlJ1Q";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"EUR";"";"";"";"";"";"119 The Circle, Tower Bridge, SE1 2JJ"
"Alex Murden";"M&S Edgware (London, W1)";"Marks & Spencer HQ";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"30-6-2017";"473,0000000000";"0065800000FlHKs";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"258 Edgware Rd, Marylebone, London W2 1DU"
"Alex Murden";"Sobell Leisure - (London, N7)";"Sobell Leisure Centre";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"31-5-2017";"473,0000000000";"0065800000FlHou";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Hornsey Rd, London N7 7NY"
"Adrian Thomas";"NL Test Account -";"NL Test Account";"";"Contacted";"Q3-2017";"EUR";"60000,00";"25";"398,0000000000";"21-6-2017";"31-7-2017";"398,0000000000";"0065800000ItZH2";"";"UK";"";"Cold Call";"EUR";"60000,00";"EUR";"";"";"";"";"";"1 Kingsland Road"
"Alex Murden";"NavNat (Hayes, UB3)";"Navnat";"";"Contacted";"Q2-2017";"GBP";"";"25";"459,0000000000";"21-4-2017";"31-5-2017";"459,0000000000";"0065800000G8OdS";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Printing House Lane, Hayes, UB3 1AP"
"Adrian Thomas";"Britannia Parking - Brick Street (London W1)";"Britannia Parking";"London";"Contacted";"Q1-2018";"GBP";"81120,00";"25";"172,0000000000";"2-2-2018";"28-2-2018";"172,0000000000";"0065800000VrbJd";"";"UK";"";"";"EUR";"95435,29";"GBP";"";"Revenue Share";"";"";"10";""
"Sarah Rijken";"Willem de Zwijgerlaan 334-338 - AMSTERDAM";"Parking Tetterode Promenade";"Amsterdam";"Contacted";"Q4-2018";"EUR";"";"25";"162,0000000000";"12-2-2018";"31-12-2018";"162,0000000000";"0065800000WLt4l";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Adrian Thomas";"Grosvenor Hotel - Reeves Mews (London, W1)";"Grosvenor House Hotel";"";"Contacted";"Q2-2017";"EUR";"";"25";"433,0000000000";"17-5-2017";"30-6-2017";"433,0000000000";"0065800000HJqGy";"";"UK";"";"Cold Call";"EUR";"";"EUR";"";"";"";"";"";"86-90 Park Lane"
"Adrian Thomas";"BNP Paribas - (Multiple Opportunities)";"BNP Paribas Real Estate";"";"Contacted";"Q3-2017";"GBP";"";"25";"433,0000000000";"17-5-2017";"30-9-2017";"433,0000000000";"0065800000HJran";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"5 Aldermanbury Square"
"Sarah Rijken";"Atrium";"L' Etoile Properties";"Amsterdam";"Contacted";"Q4-2018";"EUR";"";"25";"392,0000000000";"27-6-2017";"30-11-2018";"392,0000000000";"0065800000JGmME";"";"NL";"";"Networking / Event";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";"Strawinskylaan"
"Mitch Nijburg";"Sarphatikade - AMSTERDAM";"APF International";"Amsterdam";"Contacted";"Q3-2018";"EUR";"";"25";"375,0000000000";"14-7-2017";"31-8-2018";"183,0000000000";"0065800000JiFRD";"";"NL";"";"Cold Call";"EUR";"";"EUR";"";"Revenue Share";"";"";"";"Sarphatikade 13"
"Mitch Nijburg";"Wal - EINDHOVEN";"Omgevingsdienst Zuid-oost Brabant";"Eindhoven";"Contacted";"Q3-2018";"EUR";"10000,00";"25";"368,0000000000";"21-7-2017";"31-8-2018";"183,0000000000";"0065800000K5jZV";"";"NL";"";"Cold Call";"EUR";"10000,00";"EUR";"";"Revenue Share";"";"";"";""
"Mitch Nijburg";"Strawinskylaan - AMSTERDAM";"LRC Group";"Amsterdam";"Contacted";"Q3-2018";"EUR";"";"25";"375,0000000000";"14-7-2017";"31-8-2018";"183,0000000000";"0065800000JiFMX";"";"NL";"";"Cold Call";"EUR";"";"EUR";"";"Revenue Share";"";"";"";"Strawinskylaan 3051"
"Sarah Rijken";"World Port Center";"Unifore DMC";"Rotterdam";"Contacted";"Q4-2018";"EUR";"";"25";"315,0000000000";"12-9-2017";"31-12-2018";"315,0000000000";"0065800000MJ2Op";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Alex Murden";"Battersea BC (London, SW11)";"Battersea Business Centre (Unit Management)";"";"Contacted";"Q2-2017";"GBP";"";"25";"459,0000000000";"21-4-2017";"31-5-2017";"459,0000000000";"0065800000G8OeV";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"99-109 Lavender Hill Battersea London SW11 5QL"
"Mitch Nijburg";"Boschdijkveste 21-39";"Colliers";"Eindhoven";"Contacted";"Q4-2018";"EUR";"";"25";"354,0000000000";"4-8-2017";"31-10-2018";"349,0000000000";"0065800000KvCaU";"";"NL";"";"Spotting / Bike Tours";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";"Boschdijk 21-39"
"Sarah Rijken";"Plantage Kerklaan 38-40 - AMSTERDAM";"Artis Zoo";"Amsterdam";"Contacted";"Q3-2018";"EUR";"";"25";"351,0000000000";"7-8-2017";"30-9-2018";"351,0000000000";"0065800000Kw85Z";"";"NL";"";"Spotting / Bike Tours";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";"Plantage Kerklaan 38-40"
"Alex Murden";"33 Cavendish Square";"Astrea Asset Management";"London";"Contacted";"Q4-2017";"EUR";"";"25";"298,0000000000";"29-9-2017";"9-10-2017";"298,0000000000";"0065800000NdaKH";"";"UK";"";"";"EUR";"";"EUR";"";"";"";"";"";""
"Alex Murden";"New Cavendish Street";"Grafton Advisors";"London";"Contacted";"Q4-2017";"GBP";"";"25";"298,0000000000";"29-9-2017";"7-10-2017";"298,0000000000";"0065800000Ndao7";"";"UK";"";"";"EUR";"";"GBP";"";"";"";"";"";""
"Jordy Cobelens";"Blaak 40 - Cromwell / Vistra";"Cromwell / Yova Blaak B.V. / Vistra";"Rotterdam";"Contacted";"Q3-2018";"EUR";"";"25";"141,0000000000";"5-3-2018";"31-8-2018";"141,0000000000";"0065800000XSiXD";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"50";""
"Jordy Cobelens";"diverse locaties REAL I.S.";"Real I.S.";"Amsterdam";"Contacted";"Q4-2018";"EUR";"";"25";"127,0000000000";"19-3-2018";"31-12-2018";"127,0000000000";"0065800000Y3Na0";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Sarah Rijken";"Werxpoor - AMSTERDAM";"Werxpoor";"Amsterdam";"Contacted";"Q3-2018";"EUR";"";"25";"130,0000000000";"16-3-2018";"30-9-2018";"130,0000000000";"0065800000Y35bs";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Mitch Nijburg";"Volkshotel";"Volkshotel";"Amsterdam";"Contacted";"Q4-2018";"EUR";"";"25";"127,0000000000";"19-3-2018";"31-12-2018";"127,0000000000";"0065800000Y3MQx";"";"NL";"";"Cold Call";"EUR";"";"EUR";"";"Fixed Fee (Guaranteed Income)";"";"";"25";""
"Daniel Mens";"Daalsesingel 51-71 - Utrecht";"ASR vastgoed vermogensbeheer";"Utrecht";"Contacted";"Q3-2018";"EUR";"98000,00";"25";"5,0000000000";"19-7-2018";"30-9-2018";"5,0000000000";"0065800000g28MC";"";"NL";"";"Increasing Portfolio";"EUR";"98000,00";"EUR";"";"Revenue Share";"";"";"80";""
"Jordy Cobelens";"Bos en Lommer (Amsterdam) - Propertize / Qpark";"CBRE Property Management Netherlands";"Amsterdam";"Contacted";"Q3-2018";"EUR";"";"25";"119,0000000000";"27-3-2018";"31-8-2018";"119,0000000000";"0065800000Y5Qjl";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"100";""
"Jordy Cobelens";"Meerhoven (Eindhoven) - Propertize / Qpark";"CBRE Property Management Netherlands";"Eindhoven";"Contacted";"Q3-2018";"EUR";"";"25";"119,0000000000";"27-3-2018";"31-8-2018";"119,0000000000";"0065800000Y5Qhz";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"100";""
"Sarah Rijken";"Huddestraat 5 - AMSTERDAM";"Tawkr BV";"Amsterdam";"Contacted";"Q3-2018";"EUR";"";"25";"130,0000000000";"16-3-2018";"30-9-2018";"130,0000000000";"0065800000Y35i5";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"4";""
"Jordy Cobelens";"Oostpoort (Amsterdam) - SPF / Syntrus Achmea / Qpark";"CBRE Property Management Netherlands";"Amsterdam";"Contacted";"Q3-2018";"EUR";"";"25";"119,0000000000";"27-3-2018";"31-8-2018";"119,0000000000";"0065800000Y5QfF";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"100";""
"Sarah Rijken";"Heereweg 334 - SCHOORL";"VOF Hoeve Camperduin";"Schoorl";"Contacted";"Q3-2018";"EUR";"";"25";"99,0000000000";"16-4-2018";"30-9-2018";"99,0000000000";"0065800000ZDNyC";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Alex Murden";"Vauxhall Bridge Rd";"Venaglass";"London";"Contacted";"Q4-2017";"EUR";"";"50";"298,0000000000";"29-9-2017";"16-10-2017";"298,0000000000";"0065800000NdXx4";"";"UK";"";"";"EUR";"";"EUR";"";"";"";"";"";""
"Alex Murden";"Westminster Tower";"CLS Holdings";"London";"Contacted";"Q4-2017";"EUR";"";"25";"298,0000000000";"29-9-2017";"9-10-2017";"298,0000000000";"0065800000NdarI";"";"UK";"";"";"EUR";"";"EUR";"";"";"";"";"";""
"Daniel Mens";"Nieuwe Vaart - Arthur van Schendelstraat 500-600";"CBRE Property Management Netherlands";"Utrecht";"Contacted";"Q3-2018";"EUR";"44000,00";"25";"97,0000000000";"18-4-2018";"19-9-2018";"97,0000000000";"0065800000ZDs9A";"";"NL";"";"";"EUR";"44000,00";"EUR";"";"Revenue Share";"";"";"10";""
"Adrian Thomas";"City & General - Former Camelford House (London SE1)";"City & General Limited";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm57c";"";"UK";"";"";"EUR";"";"GBP";"";"";"";"";"";"87-90 Albert Embankment"
"Adrian Thomas";"Residential Land - Baker Street (London W1)";"Residential Land";"";"Contacted";"Q2-2017";"GBP";"230000,00";"20";"561,0000000000";"9-1-2017";"30-6-2017";"561,0000000000";"0065800000BlduM";"";"UK";"";"Networking / Event";"EUR";"270588,24";"GBP";"";"";"";"";"";"Baker Street"
"Adrian Thomas";"Tower 42 - 25 Old Broad Street (London, EC1)";"Tower 42";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm3Un";"";"UK";"";"Inbound Email";"EUR";"";"GBP";"";"";"";"";"";"25 Old Broad Street"
"Adrian Thomas";"E&O - Landmark House (London W6)";"Eastern & Oriental BHD";"";"Contacted";"Q1-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-3-2017";"560,0000000000";"0065800000Bm42M";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"Hammersmith Bridge Road"
"Adrian Thomas";"Grosvenor Estates - The Peninsula (London";"Grosvenor Estates Ltd";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm3bi";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"1-5 Grosvenor Place"
"Adrian Thomas";"Workspace - Edinburgh House (London SE11)";"Workspace Group";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm3XC";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"54-182 Kennington Lane"
"Adrian Thomas";"Telford Home - The Liberty Building (London E14)";"Telford Homes Plc";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm4c8";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"7 Limeharbour"
"Adrian Thomas";"Walt Disney - Queen Caroline Street (London W4)";"Walt Disney Ltd";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm3PH";"";"UK";"";"Inbound Email";"EUR";"";"GBP";"";"";"";"";"";"3 Queen Caroline Street"
"Adrian Thomas";"QIA - 99 Bishopsgate (London, EC2)";"Qatar Investment Authority (QIA)";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm4aH";"";"UK";"";"";"EUR";"";"GBP";"";"";"";"";"";"99 Bishopsgate"
"Adrian Thomas";"AHDL - Angel House (London E14)";"Angel House Developments Limited";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm4f2";"";"UK";"";"Inbound Email";"EUR";"";"GBP";"";"";"";"";"";"225 Marsh Wall"
"Adrian Thomas";"CIT Group - South Bank Tower (London SE1)";"CIT Group Plc";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm3we";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"55 Upper Ground"
"Adrian Thomas";"Crown Estates - Millbank Tower (London SW1)";"The Crown Estates";"";"Contacted";"Q2-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-5-2017";"560,0000000000";"0065800000Bm2lI";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"Millbank"
"Adrian Thomas";"CIT Group - Finsbury Tower (London EC1)";"CIT Group Plc";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm3JY";"";"UK";"";"Inbound Phone";"EUR";"";"GBP";"";"";"";"";"";"Bunhill Row"
"Adrian Thomas";"Helical Bar - The Shepherds Building (London, W14)";"Helical Bar";"";"Contacted";"Q3-2017";"GBP";"";"20";"560,0000000000";"10-1-2017";"31-7-2017";"560,0000000000";"0065800000Bm4D4";"";"UK";"";"Inbound Email";"EUR";"";"GBP";"";"";"";"";"";"Rockley Road, London, W14 0DA"
"Mitch Nijburg";"Fizeaustraat 2";"Hotel V";"Amsterdam";"Contacted";"Q1-2018";"EUR";"15000,00";"25";"155,0000000000";"19-2-2018";"31-3-2018";"155,0000000000";"0065800000VzGl0";"";"NL";"";"";"EUR";"15000,00";"EUR";"";"Revenue Share";"";"";"0";""
"Adrian Thomas";"The Crown Estates - St Albans House";"The Crown Estates";"";"Contacted";"Q2-2017";"GBP";"37700,00";"20";"543,0000000000";"27-1-2017";"30-6-2017";"543,0000000000";"0065800000CmHGz";"";"UK";"";"Networking / Event";"EUR";"44352,94";"GBP";"";"";"";"";"";"57-60 Haymarket"
"Adrian Thomas";"The Crown Estates - 11-12 Charles ii Street";"The Crown Estates";"";"Contacted";"Q2-2017";"GBP";"85500,00";"20";"543,0000000000";"27-1-2017";"30-6-2017";"543,0000000000";"0065800000CmHFw";"";"UK";"";"Networking / Event";"EUR";"100588,24";"GBP";"";"";"";"";"";"11-12 Charles II Street"
"Adrian Thomas";"The Crown Estates - 8 Carlton Gardens";"The Crown Estates";"";"Contacted";"Q2-2017";"GBP";"92500,00";"20";"543,0000000000";"27-1-2017";"30-6-2017";"543,0000000000";"0065800000CmHI2";"";"UK";"";"Networking / Event";"EUR";"108823,53";"GBP";"";"";"";"";"";"8 Carlton Gardens"
"Mitch Nijburg";"Lange Kerkstraat - SCHIEDAM";"HB Capital";"Schiedam";"Contacted";"Q3-2018";"EUR";"100000,00";"25";"183,0000000000";"22-1-2018";"31-8-2018";"183,0000000000";"0065800000V1gvD";"";"NL";"";"";"EUR";"100000,00";"EUR";"";"Revenue Share";"";"";"325";""
"Adrian Thomas";"Colonnades Car Park";"Colonnades Car Park / Parking Professionals";"";"Contacted";"Q1-2017";"GBP";"15000,00";"50";"533,0000000000";"6-2-2017";"31-3-2017";"533,0000000000";"0065800000Cob6B";"";"UK";"";"";"EUR";"17647,06";"GBP";"";"";"";"";"";"Porchester Terrace North"
"Alex Murden";"Telecom House";"Telecom House";"";"Contacted";"Q1-2017";"GBP";"55000,00";"25";"526,0000000000";"13-2-2017";"28-2-2017";"526,0000000000";"0065800000DFcoi";"";"UK";"";"";"EUR";"64705,88";"GBP";"";"";"";"";"";"115 Preston Road"
"Adrian Thomas";"Parking Partners - Broadgate";"Parking Partners";"";"Contacted";"Q2-2017";"EUR";"";"25";"508,0000000000";"3-3-2017";"30-6-2017";"508,0000000000";"0065800000DjkOE";"";"UK";"";"Cold Call";"EUR";"";"EUR";"";"";"";"";"";"Broadgate Visitors Car Park"
"Adrian Thomas";"Al Mubaraki - Tobacco Dock Car Park";"A Mubarak Al-Mubaraki Co (Tobacco Dock)";"";"Contacted";"Q2-2017";"GBP";"";"25";"504,0000000000";"7-3-2017";"30-6-2017";"504,0000000000";"0065800000Dkj0N";"";"UK";"";"Cold Call";"EUR";"";"GBP";"";"";"";"";"";"Tobacco Dock, Wapping Lane London E1W 2SG"
"Adrian Thomas";"Q-Park Queensway (Bourne Capital - London W2)";"Q-Park Queensway (Bourne Capital)";"";"Contacted";"Q3-2017";"GBP";"";"25";"490,0000000000";"21-3-2017";"31-8-2017";"490,0000000000";"0065800000FBzuv";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"26 Queensway, London W2 4QJ"
"Alex Murden";"Sureway / Baynard House Car Park (London EC4)";"Sureway Car Park - London";"";"Contacted";"Q2-2017";"GBP";"";"25";"475,0000000000";"5-4-2017";"30-6-2017";"475,0000000000";"0065800000FkjFU";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Queen Victoria Street, London EC4V 4AA"
"Alex Murden";"Environment Agency - Reading";"Environment Agency";"";"Contacted";"Q2-2017";"GBP";"";"25";"475,0000000000";"5-4-2017";"30-6-2017";"475,0000000000";"0065800000FkiHg";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Kings Meadow House, King's Meadow Rd, Reading RG1 8DQ"
"Alex Murden";"St George's House (Wimbledon, SW19)";"Bray Fox Smith - St George's House (Wimbledon, SW19)";"";"Contacted";"Q2-2017";"GBP";"";"25";"475,0000000000";"5-4-2017";"30-6-2017";"475,0000000000";"0065800000FkjHQ";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"5 St George's Road, Wimbledon, London SW19 4DR"
"Alex Murden";"Savills - Clapham (London SW1)";"Savills";"";"Contacted";"Q2-2017";"GBP";"";"25";"475,0000000000";"5-4-2017";"30-6-2017";"475,0000000000";"0065800000FkiP2";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"20 St John's Hill"
"Mitch Nijburg";"Donauweg - AMSTERDAM";"AJRED";"Amsterdam";"Contacted";"Q4-2018";"EUR";"";"25";"63,0000000000";"22-5-2018";"31-10-2018";"63,0000000000";"0065800000cC93t";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Alex Murden";"Battersea Reach (London SW18)";"Battersea Reach";"";"Contacted";"Q3-2017";"GBP";"";"25";"491,0000000000";"20-3-2017";"31-8-2017";"491,0000000000";"0065800000FBhAg";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Juniper Drive, Battersea SW18 1FY"
"Alex Murden";"Ibis Accor Hotel - Wembley";"Ibis Accor Hotel Group";"";"Contacted";"Q3-2017";"GBP";"";"25";"484,0000000000";"27-3-2017";"31-7-2017";"484,0000000000";"0065800000FI1Vd";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"South Way, London HA9 8AD"
"Adrian Thomas";"LRP - Diamond House (London, TW9)";"Lower Richmond Properties Limited";"";"Contacted";"Q2-2017";"GBP";"14500,00";"25";"480,0000000000";"31-3-2017";"31-5-2017";"480,0000000000";"0065800000FJmA8";"";"UK";"";"Cold Call";"EUR";"17058,82";"GBP";"";"";"";"";"";"179-181 Lower Richmond Road"
"Alex Murden";"Lenta Business Centre (Multiple Locations)";"Lenta Business Centre";"";"Contacted";"Q2-2017";"GBP";"";"25";"480,0000000000";"31-3-2017";"31-5-2017";"480,0000000000";"0065800000FJre3";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"46-48 E Smithfield, Whitechapel, London E1W 1AW"
"Alex Murden";"Britannia International Hotel - Canary Wharf";"Britannia International Hotel";"";"Contacted";"Q2-2017";"GBP";"";"25";"480,0000000000";"31-3-2017";"31-5-2017";"480,0000000000";"0065800000FJs3q";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"163 Marsh Wall, Isle of Dogs, London E14 9SJ"
"Alex Murden";"ATC - 100 West Hill (London, SW15)";"Ashcroft Technology Academy";"";"Contacted";"Q2-2017";"GBP";"";"25";"480,0000000000";"31-3-2017";"30-6-2017";"480,0000000000";"0065800000FJnMq";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"100 West Hill, London SW15 2UT"
"Alex Murden";"Co-working London (Numerous Properties)";"Co-working London";"";"Contacted";"Q2-2017";"GBP";"";"25";"480,0000000000";"31-3-2017";"31-5-2017";"480,0000000000";"0065800000FJqI1";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"4th Floor Erico House, 93-99 Upper Richmond Rd, London SW15 2TG"
